   # This file was created in 2015
   # frequency [MHz]   real(s11)   imag(s11)   real(s12s21)   imag(s12s21)   real(s22)   imag(s22)
   1.5800000000000000e+02   5.0824489941379497e-03   4.5629327449208713e-04   6.9798473076558643e-01  -7.0437092295917381e-01   3.2989868747935612e-03  -1.9960092478880573e-03
   1.5900000000000000e+02   5.1044640112603611e-03   4.3500685507130910e-04   6.9445037214140382e-01  -7.0779505696379597e-01   3.3024701400368285e-03  -2.0248896197034676e-03
   1.6000000000000000e+02   5.1275044332859060e-03   4.1470026025632604e-04   6.9090071141243969e-01  -7.1120277093564033e-01   3.3058363401125951e-03  -2.0568284461323664e-03
   1.6100000000000000e+02   5.1512392859871525e-03   3.9236474388558526e-04   6.8732877262132530e-01  -7.1459484246473737e-01   3.3075406209040438e-03  -2.0893018479789614e-03
   1.6200000000000000e+02   5.1748896782034988e-03   3.7157012592750746e-04   6.8373829336807002e-01  -7.1797013924767816e-01   3.3089635257313702e-03  -2.1230307077948199e-03
   1.6300000000000000e+02   5.1966278319737005e-03   3.4983201839294115e-04   6.8013813692446246e-01  -7.2132250917092389e-01   3.3112372078496219e-03  -2.1553732911179018e-03
   1.6400000000000000e+02   5.2196292523534991e-03   3.2885778033711632e-04   6.7652381267514605e-01  -7.2465457569999814e-01   3.3127684547608212e-03  -2.1874471420703732e-03
   1.6500000000000000e+02   5.2413980495957073e-03   3.0704579296496559e-04   6.7288769241137580e-01  -7.2797210931494671e-01   3.3147506184852977e-03  -2.2206828532577170e-03
   1.6600000000000000e+02   5.2655201196755569e-03   2.8445569989299678e-04   6.6923459821529474e-01  -7.3127381464507946e-01   3.3141112366320176e-03  -2.2551445474637243e-03
   1.6700000000000000e+02   5.2869356420150596e-03   2.6157604378448306e-04   6.6556980496944163e-01  -7.3455319752440162e-01   3.3167881017748257e-03  -2.2877945277281495e-03
   1.6800000000000000e+02   5.3095989816362571e-03   2.3870918180939732e-04   6.6188938170383527e-01  -7.3781386337582566e-01   3.3173517959186457e-03  -2.3208910382949482e-03
   1.6900000000000000e+02   5.3304178794389414e-03   2.1741830631391608e-04   6.5819098594953140e-01  -7.4105562340957132e-01   3.3189977166974828e-03  -2.3560453130647601e-03
   1.7000000000000000e+02   5.3536359724395679e-03   1.9337193013241129e-04   6.5447358667556943e-01  -7.4428441949526714e-01   3.3191823141339614e-03  -2.3925036312567359e-03
   1.7100000000000000e+02   5.3758672484880074e-03   1.7113023675312781e-04   6.5074146410486533e-01  -7.4749235338666287e-01   3.3187755662374787e-03  -2.4274457174212373e-03
   1.7200000000000000e+02   5.3970099058449723e-03   1.4770012504358609e-04   6.4699835980071430e-01  -7.5067651525377166e-01   3.3195815364146200e-03  -2.4631003771246980e-03
   1.7300000000000000e+02   5.4186799713462413e-03   1.2434035983289115e-04   6.4323765189380866e-01  -7.5384320576756803e-01   3.3202430083592192e-03  -2.4981956561023946e-03
   1.7400000000000000e+02   5.4403050788277155e-03   1.0036887239754198e-04   6.3945998472222487e-01  -7.5699441147971591e-01   3.3180544323529342e-03  -2.5334798926104308e-03
   1.7500000000000000e+02   5.4617739865603660e-03   7.7191723556264464e-05   6.3566964526933345e-01  -7.6012384791345322e-01   3.3173817953575822e-03  -2.5687387593394811e-03
   1.7600000000000000e+02   5.4817915649807520e-03   5.3995570161855358e-05   6.3186630034467506e-01  -7.6323115544568021e-01   3.3178399711121451e-03  -2.6043677561563353e-03
   1.7700000000000000e+02   5.5036530239447870e-03   2.9792487785825477e-05   6.2804985399594659e-01  -7.6631786714417816e-01   3.3169550443937217e-03  -2.6400584092135864e-03
   1.7800000000000000e+02   5.5245802953438053e-03   6.0374680710262005e-06   6.2421032591058656e-01  -7.6939282782076035e-01   3.3148658468975262e-03  -2.6779291180683727e-03
   1.7900000000000000e+02   5.5440315545636750e-03  -1.9302435183755032e-05   6.2035660889736954e-01  -7.7244790777688876e-01   3.3118084363404077e-03  -2.7112343406808263e-03
   1.8000000000000000e+02   5.5647157901172785e-03  -4.2617664751802590e-05   6.1649479178023348e-01  -7.7547800734504235e-01   3.3109992144012435e-03  -2.7478243203869412e-03
   1.8100000000000000e+02   5.5851932666225578e-03  -6.6154163297155004e-05   6.1261818214924180e-01  -7.7848938367366260e-01   3.3083406506999248e-03  -2.7858591492855387e-03
   1.8200000000000000e+02   5.6037428658208864e-03  -9.0938598121811400e-05   6.0872588936386141e-01  -7.8148578569993443e-01   3.3069102499589513e-03  -2.8234355739157266e-03
   1.8300000000000000e+02   5.6250372381334299e-03  -1.1565392850269733e-04   6.0482260755426831e-01  -7.8445893910073350e-01   3.3037999644622319e-03  -2.8614452544722564e-03
   1.8400000000000000e+02   5.6452228167849583e-03  -1.3837546553812662e-04   6.0090676478868366e-01  -7.8741293471363560e-01   3.3011252779788719e-03  -2.9025152838775166e-03
   1.8500000000000000e+02   5.6657978816821797e-03  -1.6149981685053936e-04   5.9696986687991072e-01  -7.9035210913142040e-01   3.2992367085468580e-03  -2.9434479497183379e-03
   1.8600000000000000e+02   5.6862362904391874e-03  -1.8676817615575288e-04   5.9302257665965330e-01  -7.9327054556706122e-01   3.2951928872401903e-03  -2.9842377093634376e-03
   1.8700000000000000e+02   5.7068065694818992e-03  -2.0977151800763275e-04   5.8906049504559688e-01  -7.9617275706811574e-01   3.2904139514994012e-03  -3.0244123948598035e-03
   1.8800000000000000e+02   5.7279969269333209e-03  -2.3501836651827578e-04   5.8508657356589278e-01  -7.9905405021438991e-01   3.2837916700159202e-03  -3.0660499363655480e-03
   1.8900000000000000e+02   5.7501243120427455e-03  -2.5991761347039511e-04   5.8109323256664980e-01  -8.0192040948423438e-01   3.2733770287444986e-03  -3.1090511752415867e-03
   1.9000000000000000e+02   5.7715372072794811e-03  -2.8550309573010076e-04   5.7708499154227089e-01  -8.0476460954003437e-01   3.2638907861641036e-03  -3.1474727170676146e-03
   1.9100000000000000e+02   5.7923885635193864e-03  -3.1133022689840335e-04   5.7306964520729731e-01  -8.0758203664577710e-01   3.2537961504514631e-03  -3.1879152447172052e-03
   1.9200000000000000e+02   5.8137926385115413e-03  -3.3876585289230668e-04   5.6903115658997283e-01  -8.1038575161877358e-01   3.2420040120375608e-03  -3.2248833884949424e-03
   1.9300000000000000e+02   5.8350499155106631e-03  -3.6698343986792516e-04   5.6498196220652919e-01  -8.1316684869565514e-01   3.2291732770247314e-03  -3.2600526200066487e-03
   1.9400000000000000e+02   5.8541488960939629e-03  -3.9381417871786650e-04   5.6091128363068443e-01  -8.1592970928204689e-01   3.2037704308254308e-03  -3.3050025112869204e-03
   1.9500000000000000e+02   5.8750756381234131e-03  -4.2296096125630188e-04   5.5683396898341764e-01  -8.1866688882730754e-01   3.1930931542907149e-03  -3.3396295475605206e-03
   1.9600000000000000e+02   5.8937289374222631e-03  -4.5139950578657517e-04   5.5274626297460505e-01  -8.2138176563074927e-01   3.1831197910906651e-03  -3.3740913141226134e-03
   1.9700000000000000e+02   5.9125526485130121e-03  -4.8063297938068965e-04   5.4864502396320758e-01  -8.2407513116157560e-01   3.1724341447955376e-03  -3.4091915961801953e-03
   1.9800000000000000e+02   5.9302910616084647e-03  -5.0863938420073445e-04   5.4453012099328579e-01  -8.2674985317426919e-01   3.1628234319847816e-03  -3.4428308745599245e-03
   1.9900000000000000e+02   5.9483024006342644e-03  -5.3611677158232006e-04   5.4040165499895443e-01  -8.2940594109361587e-01   3.1519981848567268e-03  -3.4773945159050825e-03
   2.0000000000000000e+02   5.9660301486016499e-03  -5.6514244092761390e-04   5.3626460773698126e-01  -8.3203889293506594e-01   3.1419800276596176e-03  -3.5110601834008586e-03
   2.0100000000000000e+02   5.9830054018073569e-03  -5.9253435699165621e-04   5.3211683881987615e-01  -8.3465029016877323e-01   3.1321306097701071e-03  -3.5485006404241985e-03
   2.0200000000000000e+02   5.9997807521671694e-03  -6.2124853701069559e-04   5.2795327220524613e-01  -8.3724409406205214e-01   3.1221688856665347e-03  -3.5837212875306414e-03
   2.0300000000000000e+02   6.0178053497059241e-03  -6.4917847015300782e-04   5.2377519166675324e-01  -8.3981870663072844e-01   3.1099041325214341e-03  -3.6196133784814327e-03
   2.0400000000000000e+02   6.0355520122617259e-03  -6.7590006664964457e-04   5.1958622989305536e-01  -8.4237052336972229e-01   3.0970746454073292e-03  -3.6577254928454542e-03
   2.0500000000000000e+02   6.0514964667038769e-03  -7.0467388914730988e-04   5.1538568428317244e-01  -8.4490064929261266e-01   3.0837281723138147e-03  -3.6904905636922858e-03
   2.0600000000000000e+02   6.0685153687448775e-03  -7.3186645226204353e-04   5.1117433210311514e-01  -8.4741053445509373e-01   3.0704422373853441e-03  -3.7259317443869202e-03
   2.0700000000000000e+02   6.0849196347348396e-03  -7.6323319629047713e-04   5.0694993310039338e-01  -8.4989899162359028e-01   3.0575098666023428e-03  -3.7609133164707535e-03
   2.0800000000000000e+02   6.0986543603797870e-03  -7.9399460769925074e-04   5.0271024030105904e-01  -8.5237127244670241e-01   3.0488320218806874e-03  -3.7913823973614504e-03
   2.0900000000000000e+02   6.1180562896360532e-03  -8.1968254114269659e-04   4.9845862305336031e-01  -8.5481594734357624e-01   3.0292419674213811e-03  -3.8314580293752924e-03
   2.1000000000000000e+02   6.1342851768062655e-03  -8.4840209386409450e-04   4.9420210995689229e-01  -8.5723908238310520e-01   3.0153216083070866e-03  -3.8659047294037855e-03
   2.1100000000000000e+02   6.1564016329376317e-03  -8.7435023208336379e-04   4.8992760614295444e-01  -8.5964575993272996e-01   2.9969552575122992e-03  -3.9071600150608673e-03
   2.1200000000000000e+02   6.1656875494062813e-03  -9.0615601206722653e-04   4.8564766214014060e-01  -8.6202825038085773e-01   2.9835552820948741e-03  -3.9329708703184241e-03
   2.1300000000000000e+02   6.1820575411283421e-03  -9.3507133586892544e-04   4.8134978348848606e-01  -8.6439222201042964e-01   2.9667338078336078e-03  -3.9678589683657828e-03
   2.1400000000000000e+02   6.1983715674109588e-03  -9.6491489928986446e-04   4.7703892245474816e-01  -8.6673337103783510e-01   2.9484468846838639e-03  -4.0002253402464626e-03
   2.1500000000000000e+02   6.2126071206552412e-03  -9.9499891745096674e-04   4.7272443304744843e-01  -8.6905069771388688e-01   2.9308554658016139e-03  -4.0323004810979522e-03
   2.1600000000000000e+02   6.2282446911642326e-03  -1.0229017879600827e-03   4.6840319596357965e-01  -8.7134526806070467e-01   2.9141722537039181e-03  -4.0647284676412904e-03
   2.1700000000000000e+02   6.2436906945140700e-03  -1.0520474143586730e-03   4.6406734609082118e-01  -8.7361944522068713e-01   2.8956048609509407e-03  -4.0966499167183583e-03
   2.1800000000000000e+02   6.2591889358761671e-03  -1.0811220628065741e-03   4.5971319102547975e-01  -8.7587721794952367e-01   2.8758282225408204e-03  -4.1278500156066052e-03
   2.1900000000000000e+02   6.2729260753217244e-03  -1.1107024823883106e-03   4.5535205845581161e-01  -8.7811075864829868e-01   2.8572324476756608e-03  -4.1569370713712911e-03
   2.2000000000000000e+02   6.2881575300390404e-03  -1.1407713344732727e-03   4.5098501017813597e-01  -8.8031997162645947e-01   2.8394101972645364e-03  -4.1873887268339700e-03
   2.2100000000000000e+02   6.3026381589872706e-03  -1.1697660655441212e-03   4.4660940666045479e-01  -8.8250672600984281e-01   2.8187881803230048e-03  -4.2187130506252980e-03
   2.2200000000000000e+02   6.3164008494610230e-03  -1.2006788846990167e-03   4.4221819115928823e-01  -8.8467503850432028e-01   2.7983919395777167e-03  -4.2478816879145467e-03
   2.2300000000000000e+02   6.3313392530508139e-03  -1.2295798279345334e-03   4.3781240554443113e-01  -8.8682559270666483e-01   2.7772102450299490e-03  -4.2795693776868865e-03
   2.2400000000000000e+02   6.3450198230811834e-03  -1.2598809954101195e-03   4.3339844516976772e-01  -8.8895041228151273e-01   2.7558963118178583e-03  -4.3079440461440072e-03
   2.2500000000000000e+02   6.3588048403958449e-03  -1.2901821864310893e-03   4.2898274607908121e-01  -8.9105007483497800e-01   2.7368805751724207e-03  -4.3350968088850753e-03
   2.2600000000000000e+02   6.3726864940638374e-03  -1.3199950752445842e-03   4.2455286996156338e-01  -8.9312892454195292e-01   2.7136772283540369e-03  -4.3651757480608726e-03
   2.2700000000000000e+02   6.3864078838978284e-03  -1.3512981850972534e-03   4.2010901847584103e-01  -8.9518827993567152e-01   2.6925014228886737e-03  -4.3959473940705391e-03
   2.2800000000000000e+02   6.3988317465446193e-03  -1.3796771957501391e-03   4.1565351451586402e-01  -8.9722902293882856e-01   2.6702693057234130e-03  -4.4246854040022824e-03
   2.2900000000000000e+02   6.4137743027399864e-03  -1.4109594195202667e-03   4.1119071045298078e-01  -8.9924568845129149e-01   2.6456516194922051e-03  -4.4514108545716611e-03
   2.3000000000000000e+02   6.4263123521813986e-03  -1.4395424246244194e-03   4.0671957434408318e-01  -9.0123895055717507e-01   2.6234437948882776e-03  -4.4818132907300679e-03
   2.3100000000000000e+02   6.4397325494174465e-03  -1.4701988127203028e-03   4.0223903954575885e-01  -9.0320947614336067e-01   2.6006731985913447e-03  -4.5086278287458830e-03
   2.3200000000000000e+02   6.4525297634666547e-03  -1.5002266814158633e-03   3.9774765611565849e-01  -9.0515972699000091e-01   2.5770599248733242e-03  -4.5381203771242429e-03
   2.3300000000000000e+02   6.4650050369753952e-03  -1.5320428430391538e-03   3.9324467643864469e-01  -9.0708594254073727e-01   2.5550087445759639e-03  -4.5629310891509662e-03
   2.3400000000000000e+02   6.4769796070340228e-03  -1.5624343109661982e-03   3.8873557317861024e-01  -9.0899054575007976e-01   2.5317291182125230e-03  -4.5909728210299181e-03
   2.3500000000000000e+02   6.4905316173571211e-03  -1.5936527637687022e-03   3.8421548176272530e-01  -9.1087188956119036e-01   2.5067927369819289e-03  -4.6180578828534033e-03
   2.3600000000000000e+02   6.5015256784495849e-03  -1.6256760711015985e-03   3.7968813942316321e-01  -9.1273173232684446e-01   2.4835229990894602e-03  -4.6422443773596316e-03
   2.3700000000000000e+02   6.5136945777437292e-03  -1.6559809340311170e-03   3.7515023304261330e-01  -9.1456976754228936e-01   2.4598265105035010e-03  -4.6705919986263318e-03
   2.3800000000000000e+02   6.5271926185053956e-03  -1.6868765666603345e-03   3.7060539339779891e-01  -9.1638330160420611e-01   2.4344252260974416e-03  -4.6974479468642758e-03
   2.3900000000000000e+02   6.5382039268972458e-03  -1.7179317284603413e-03   3.6605183622246296e-01  -9.1817495492350343e-01   2.4097745137308100e-03  -4.7206534417920786e-03
   2.4000000000000000e+02   6.5493870471715881e-03  -1.7489314816374628e-03   3.6149117297578554e-01  -9.1994531983033667e-01   2.3841352366863540e-03  -4.7468719364189230e-03
   2.4100000000000000e+02   6.5604558966745842e-03  -1.7794810778761915e-03   3.5692264644410665e-01  -9.2169198014542941e-01   2.3586078178739907e-03  -4.7701708011976410e-03
   2.4200000000000000e+02   6.5710694144356652e-03  -1.8113515821730395e-03   3.5234829541866741e-01  -9.2341535374587402e-01   2.3345640300993496e-03  -4.7956373373958163e-03
   2.4300000000000000e+02   6.5822190197702196e-03  -1.8428456543704891e-03   3.4776439180757274e-01  -9.2511692111423349e-01   2.3084124834294078e-03  -4.8225602803415486e-03
   2.4400000000000000e+02   6.5927712070246707e-03  -1.8742921085387486e-03   3.4316932923913657e-01  -9.2679724135177477e-01   2.2814366631397709e-03  -4.8477728196445235e-03
   2.4500000000000000e+02   6.6031820291533594e-03  -1.9045467993830797e-03   3.3856629368367847e-01  -9.2845379092614488e-01   2.2560324844298789e-03  -4.8722926134487209e-03
   2.4600000000000000e+02   6.6131077692269139e-03  -1.9367935065613380e-03   3.3395736290161543e-01  -9.3008615348956947e-01   2.2301784159175103e-03  -4.8955316197344025e-03
   2.4700000000000000e+02   6.6230151074244716e-03  -1.9676768945499205e-03   3.2934301671003485e-01  -9.3169561315800531e-01   2.2044344639806971e-03  -4.9214584147222957e-03
   2.4800000000000000e+02   6.6336486646182673e-03  -1.9986394807873491e-03   3.2471708219853584e-01  -9.3328341108833723e-01   2.1772999510977836e-03  -4.9457533190071963e-03
   2.4900000000000000e+02   6.6424768696182850e-03  -2.0297206060391772e-03   3.2008432053878560e-01  -9.3484987242469442e-01   2.1521070223630670e-03  -4.9711196983297096e-03
   2.5000000000000000e+02   6.6528193597052039e-03  -2.0617782511282950e-03   3.1544683665326989e-01  -9.3639089970504807e-01   2.1247043940700846e-03  -4.9963600330201223e-03
