   # This file was created in 2015
   # frequency [MHz]   real(s11)   imag(s11)   real(s12s21)   imag(s12s21)   real(s22)   imag(s22)
   2.2000000000000000e+01   1.2102714756089623e-03   1.1278209233358248e-03   9.9177241998331844e-01  -1.1122552709454488e-01   1.0077385566656055e-03   7.3756926463543811e-04
   2.3000000000000000e+01   1.2474203807610912e-03   1.1471899798229067e-03   9.9114377093108197e-01  -1.1620094510546394e-01   1.0401171160195279e-03   7.4337280137223274e-04
   2.4000000000000000e+01   1.2799551083435743e-03   1.1669434570215297e-03   9.9049114578595021e-01  -1.2117513875268530e-01   1.0757827293794925e-03   7.4725632861299604e-04
   2.5000000000000000e+01   1.3166409756754636e-03   1.1854942320501567e-03   9.8981264777004330e-01  -1.2613638265730109e-01   1.1048919175726192e-03   7.5119394435196234e-04
   2.6000000000000000e+01   1.3510351468690013e-03   1.2028807449289958e-03   9.8911159038239493e-01  -1.3109585913424465e-01   1.1395600917620302e-03   7.5590738510748106e-04
   2.7000000000000000e+01   1.3861380894510315e-03   1.2207270839619739e-03   9.8838799553956602e-01  -1.3605775309469539e-01   1.1711559159332684e-03   7.5601146055164295e-04
   2.8000000000000000e+01   1.4199308900524981e-03   1.2356305423404563e-03   9.8763407286445803e-01  -1.4100855885803662e-01   1.2031654659024902e-03   7.5758941845641397e-04
   2.9000000000000000e+01   1.4543302311208935e-03   1.2506051355475711e-03   9.8685697004937545e-01  -1.4595661100129018e-01   1.2339704712760094e-03   7.5858885426562626e-04
   3.0000000000000000e+01   1.4877155388293983e-03   1.2671161826376003e-03   9.8605735304544506e-01  -1.5089762240225782e-01   1.2653846574906195e-03   7.5994528948243969e-04
   3.1000000000000000e+01   1.5214295761110030e-03   1.2825810323590439e-03   9.8523317031165281e-01  -1.5583126668792890e-01   1.2948705334741863e-03   7.5762446209230272e-04
   3.2000000000000000e+01   1.5538784956950367e-03   1.2960977075492685e-03   9.8438542503055870e-01  -1.6076210985643469e-01   1.3268266815459184e-03   7.5599817525828317e-04
   3.3000000000000000e+01   1.5871533683498944e-03   1.3099534896959656e-03   9.8351334848619576e-01  -1.6568371138460553e-01   1.3554203763646775e-03   7.5320385730659912e-04
   3.4000000000000000e+01   1.6208769875770824e-03   1.3221773899068548e-03   9.8261746860832744e-01  -1.7060902398887109e-01   1.3842723856501680e-03   7.5165399515466204e-04
   3.5000000000000000e+01   1.6535215618849446e-03   1.3348955750118890e-03   9.8169462893302328e-01  -1.7551997773490952e-01   1.4137277136644219e-03   7.4836934673062623e-04
   3.6000000000000000e+01   1.6855481788050468e-03   1.3459114994355417e-03   9.8074912673896908e-01  -1.8042566551465122e-01   1.4452363296062129e-03   7.4785443326690884e-04
   3.7000000000000000e+01   1.7180221139559881e-03   1.3582144005221204e-03   9.7978388274340245e-01  -1.8532795024810780e-01   1.4759423106070345e-03   7.4160454013860104e-04
   3.8000000000000000e+01   1.7502767259636926e-03   1.3696577344249432e-03   9.7879158661190402e-01  -1.9022440928863513e-01   1.5048742048342297e-03   7.3519720149221694e-04
   3.9000000000000000e+01   1.7827482458577821e-03   1.3784623036296876e-03   9.7777400233632983e-01  -1.9511280228832792e-01   1.5333617420770567e-03   7.3119977984847082e-04
   4.0000000000000000e+01   1.8138284278327345e-03   1.3890596093841371e-03   9.7673075403090381e-01  -1.9999811781089172e-01   1.5634016362734108e-03   7.2459692244315808e-04
   4.1000000000000000e+01   1.8468269683811272e-03   1.3979395955908268e-03   9.7566491525523991e-01  -2.0487416152021548e-01   1.5897769457846570e-03   7.1766333202471296e-04
   4.2000000000000000e+01   1.8775191083791585e-03   1.4081394596214278e-03   9.7457873070600676e-01  -2.0974350815815443e-01   1.6199572976044576e-03   7.1031484711251000e-04
   4.3000000000000000e+01   1.9106513737213884e-03   1.4166621313785981e-03   9.7346524246495281e-01  -2.1460742832211405e-01   1.6480997693628873e-03   7.0256687604476349e-04
   4.4000000000000000e+01   1.9417306017545258e-03   1.4242417415904244e-03   9.7232883962351235e-01  -2.1946637443457875e-01   1.6768132869425453e-03   6.9561381477788609e-04
   4.5000000000000000e+01   1.9741813932316532e-03   1.4327968060911212e-03   9.7116969530346997e-01  -2.2431626822400932e-01   1.7046165994665725e-03   6.8426036969504098e-04
   4.6000000000000000e+01   2.0047545904943575e-03   1.4395992964194469e-03   9.6998477103275538e-01  -2.2916366836715105e-01   1.7324563221959085e-03   6.7617371192098253e-04
   4.7000000000000000e+01   2.0356971084666080e-03   1.4455926798910520e-03   9.6877277803482842e-01  -2.3400232093804807e-01   1.7586634598148463e-03   6.6753217864537245e-04
   4.8000000000000000e+01   2.0669933033234454e-03   1.4530751350433622e-03   9.6753903683695019e-01  -2.3882932543064489e-01   1.7868751535046210e-03   6.5745745522760980e-04
   4.9000000000000000e+01   2.0978928116859373e-03   1.4595657744403000e-03   9.6628323355979362e-01  -2.4365305561991446e-01   1.8123541334259432e-03   6.4640728447190382e-04
   5.0000000000000000e+01   2.1284191845819854e-03   1.4646415191124774e-03   9.6500518373478805e-01  -2.4846774497936305e-01   1.8416180107593961e-03   6.3766012039633869e-04
   5.1000000000000000e+01   2.1597745080140771e-03   1.4704148099153535e-03   9.6370219715895689e-01  -2.5327901171082251e-01   1.8702367862260222e-03   6.2592211241795526e-04
   5.2000000000000000e+01   2.1901652163911801e-03   1.4747965128936525e-03   9.6237546920322470e-01  -2.5808173926182276e-01   1.8974752276739082e-03   6.1400664363127854e-04
   5.3000000000000000e+01   2.2205731456433888e-03   1.4796473530131965e-03   9.6102498461603059e-01  -2.6287691144068298e-01   1.9241080860345355e-03   6.0180917736929419e-04
   5.4000000000000000e+01   2.2518121192070064e-03   1.4842311336101858e-03   9.5964732433032873e-01  -2.6765992402331473e-01   1.9484638285126377e-03   5.8886632588125054e-04
   5.5000000000000000e+01   2.2809982333447660e-03   1.4882034356723196e-03   9.5825186781518235e-01  -2.7243611894663777e-01   1.9781840832755488e-03   5.7746786274157167e-04
   5.6000000000000000e+01   2.3121981673200659e-03   1.4930131378641329e-03   9.5683190734832435e-01  -2.7720860335832098e-01   2.0045688583040715e-03   5.6654258219007757e-04
   5.7000000000000000e+01   2.3418743330736428e-03   1.4971290709749232e-03   9.5538974580345826e-01  -2.8196887628104778e-01   2.0339278862966537e-03   5.5329372528320009e-04
   5.8000000000000000e+01   2.3726462535044791e-03   1.5035724863647930e-03   9.5392639255346146e-01  -2.8672154149462187e-01   2.0637978547346095e-03   5.3689265136054468e-04
   5.9000000000000000e+01   2.4070797621507942e-03   1.5055565704177852e-03   9.5244058149332678e-01  -2.9147140860044179e-01   2.0936168793637485e-03   5.2252312358748486e-04
   6.0000000000000000e+01   2.4394929381165321e-03   1.5079344993524121e-03   9.5093376226896231e-01  -2.9621249813950540e-01   2.1228948204436320e-03   5.0083641417501368e-04
   6.1000000000000000e+01   2.4714267197117742e-03   1.5077731012347190e-03   9.4939768371694333e-01  -3.0095312161407561e-01   2.1464739987662640e-03   4.7860653915691716e-04
   6.2000000000000000e+01   2.5034191323834998e-03   1.5070656867342070e-03   9.4783453290446251e-01  -3.0568245224685103e-01   2.1701903291966303e-03   4.5923768078944384e-04
   6.3000000000000000e+01   2.5330145549328745e-03   1.5053613138662563e-03   9.4624628005880540e-01  -3.1040015097076801e-01   2.1905308267781576e-03   4.4112695738586115e-04
   6.4000000000000000e+01   2.5631330475320026e-03   1.5049958698271956e-03   9.4463649222361834e-01  -3.1510813682948763e-01   2.2112560310821846e-03   4.2363040420313248e-04
   6.5000000000000000e+01   2.5915829272909019e-03   1.5050288617024022e-03   9.4300206809814202e-01  -3.1980718108873252e-01   2.2349092072886929e-03   4.0683923155262623e-04
   6.6000000000000000e+01   2.6206010949599129e-03   1.5032365638136958e-03   9.4135192543668178e-01  -3.2449058428326616e-01   2.2576821552921789e-03   3.9288666809657942e-04
