# f, real(s11), imag(s11), abs(s21), real(s22), imag(s22)
5.028686522999999653e+01 3.319346720894147257e-03 1.030933630881594298e-03 9.981041074712773131e-01 9.946992887534121704e-04 1.248540949012425958e-03
5.029296875000000000e+01 3.319567288681561559e-03 1.030898488212719094e-03 9.981039069108260664e-01 9.948749447581987319e-04 1.248536793083522859e-03
5.029907227000000347e+01 3.319787869475853120e-03 1.030863267070745212e-03 9.981037058028041642e-01 9.950506051781197840e-04 1.248532672723357819e-03
5.030517577999999901e+01 3.320008462860556901e-03 1.030827967575159319e-03 9.981035041946483277e-01 9.952262697115060470e-04 1.248528587867180116e-03
5.031127930000000248e+01 3.320229069503529730e-03 1.030792589671846284e-03 9.981033021318298504e-01 9.954019389201190955e-04 1.248524538430258917e-03
5.031738280999999802e+01 3.320449688626957597e-03 1.030757133538252705e-03 9.981030996601937266e-01 9.955776122144680169e-04 1.248520524354589838e-03
5.032348633000000149e+01 3.320670320898885981e-03 1.030721599119682102e-03 9.981028968233075505e-01 9.957532901563438763e-04 1.248516545555813711e-03
5.032958983999999703e+01 3.320890965541521255e-03 1.030685986594027329e-03 9.981026936651260506e-01 9.959289721562260538e-04 1.248512601975833563e-03
5.033569336000000050e+01 3.321111623223097983e-03 1.030650295906012075e-03 9.981024902273631927e-01 9.961046587759338038e-04 1.248508693530660588e-03
5.034179687999999686e+01 3.321332293527399192e-03 1.030614527175305589e-03 9.981022865518058840e-01 9.962803497137733433e-04 1.248504820155789310e-03
5.034790038999999950e+01 3.321552976038177115e-03 1.030578680522054816e-03 9.981020826793578493e-01 9.964560446680248689e-04 1.248500981786552924e-03
5.035400391000000297e+01 3.321773671423947777e-03 1.030542755890116085e-03 9.981018786490217787e-01 9.966317442005468829e-04 1.248497178339517087e-03
5.036010741999999851e+01 3.321994378906969157e-03 1.030506753458490955e-03 9.981016745002642132e-01 9.968074477217493765e-04 1.248493409756357576e-03
5.036621094000000198e+01 3.322215099155943329e-03 1.030470673170457655e-03 9.981014702703533414e-01 9.969831557935205594e-04 1.248489675954007373e-03
5.037231444999999752e+01 3.322435831393151257e-03 1.030434515205460753e-03 9.981012659970307510e-01 9.971588678262404987e-04 1.248485976874052919e-03
5.037841797000000099e+01 3.322656576287478895e-03 1.030398279506201465e-03 9.981010617158672105e-01 9.973345843818258102e-04 1.248482312433793441e-03
5.038452147999999653e+01 3.322877333061233229e-03 1.030361966252565844e-03 9.981008574629324226e-01 9.975103048706294561e-04 1.248478682574727773e-03
5.039062500000000000e+01 3.323098102383482359e-03 1.030325575386678962e-03 9.981006532721442559e-01 9.976860298545953739e-04 1.248475087214519436e-03
5.039672852000000347e+01 3.323318883838295539e-03 1.030289107029056395e-03 9.981004491776079846e-01 9.978617590319666802e-04 1.248471526288773541e-03
5.040283202999999901e+01 3.323539677009712100e-03 1.030252561300686216e-03 9.981002452126332969e-01 9.980374921009617720e-04 1.248467999732936909e-03
5.040893555000000248e+01 3.323760482567077266e-03 1.030215938142830037e-03 9.981000414087332073e-01 9.982132296235644853e-04 1.248464507465220147e-03
5.041503905999999802e+01 3.323981299732757435e-03 1.030179237736476979e-03 9.980998377979857228e-01 9.983889710100609955e-04 1.248461049426903731e-03
5.042114258000000149e+01 3.324202129176280843e-03 1.030142460022314462e-03 9.980996344103579831e-01 9.985647168224635450e-04 1.248457625536560176e-03
5.042724608999999703e+01 3.324422970120038609e-03 1.030105605181770058e-03 9.980994312763996623e-01 9.987404664710314208e-04 1.248454235735383007e-03
5.043334961000000050e+01 3.324643823233742416e-03 1.030068673154958944e-03 9.980992284245780999e-01 9.989162205178050546e-04 1.248450879942308378e-03
5.043945312000000314e+01 3.324864687739808103e-03 1.030031664123746927e-03 9.980990258839530505e-01 9.990919783730168452e-04 1.248447558098443513e-03
5.044555663999999950e+01 3.325085564308126896e-03 1.029994578027675642e-03 9.980988236815301340e-01 9.992677405987341124e-04 1.248444270123084086e-03
5.045166016000000297e+01 3.325306452523056015e-03 1.029957414988097453e-03 9.980986218445926372e-01 9.994435068931431607e-04 1.248441015951949921e-03
5.045776366999999851e+01 3.325527351968928826e-03 1.029920175126837435e-03 9.980984203997143034e-01 9.996192769544023221e-04 1.248437795520607749e-03
5.046386719000000198e+01 3.325748263315905871e-03 1.029882858382579619e-03 9.980982193717781170e-01 9.997950513446212002e-04 1.248434608748891445e-03
5.046997069999999752e+01 3.325969185786473246e-03 1.029845464938282905e-03 9.980980187863034425e-01 9.999708294739673587e-04 1.248431455577699196e-03
5.047607422000000099e+01 3.326190120050970603e-03 1.029807994732062984e-03 9.980978186668113539e-01 1.000146611904578157e-03 1.248428335927223532e-03
5.048217772999999653e+01 3.326411065331911793e-03 1.029770447947313955e-03 9.980976190374661883e-01 1.000322398046595788e-03 1.248425249738278724e-03
5.048828125000000000e+01 3.326632022299814712e-03 1.029732824521581219e-03 9.980974199204630803e-01 1.000498188462184282e-03 1.248422196931414218e-03
5.049438477000000347e+01 3.326852990539266863e-03 1.029695124576863541e-03 9.980972213383294545e-01 1.000673982849486360e-03 1.248419177442442645e-03
5.050048827999999901e+01 3.327073969634832332e-03 1.029657348235629797e-03 9.980970233129462521e-01 1.000849780906618719e-03 1.248416191207028098e-03
5.050659180000000248e+01 3.327294960257295726e-03 1.029619495434571687e-03 9.980968258645896984e-01 1.001025583195786807e-03 1.248413238146251500e-03
5.051269530999999802e+01 3.327515961629243322e-03 1.029581566358170330e-03 9.980966290142102570e-01 1.001201389127071018e-03 1.248410318200725462e-03
5.051879883000000149e+01 3.327736974421636670e-03 1.029543560942550824e-03 9.980964327808460324e-01 1.001377199262704120e-03 1.248407431291883706e-03
5.052490233999999703e+01 3.327957997857093706e-03 1.029505479372627317e-03 9.980962371842283520e-01 1.001553013012742872e-03 1.248404577360259261e-03
5.053100586000000050e+01 3.328179032606750319e-03 1.029467321583958520e-03 9.980960422421951694e-01 1.001728830939444979e-03 1.248401756327639301e-03
5.053710937999999686e+01 3.328400078255426466e-03 1.029429087699186346e-03 9.980958479729638011e-01 1.001904652740914564e-03 1.248398968129934682e-03
5.054321288999999950e+01 3.328621134387921721e-03 1.029390777841417181e-03 9.980956543941745807e-01 1.002080478115229293e-03 1.248396212702908813e-03
5.054931641000000297e+01 3.328842201675633484e-03 1.029352391945361671e-03 9.980954615219324033e-01 1.002256307624687856e-03 1.248393489968877305e-03
5.055541991999999851e+01 3.329063279341259486e-03 1.029313930197012748e-03 9.980952693730561487e-01 1.002432140679289114e-03 1.248390799868174562e-03
5.056152344000000198e+01 3.329284368056370600e-03 1.029275392530517273e-03 9.980950779625407110e-01 1.002607977841358643e-03 1.248388142323465311e-03
5.056762694999999752e+01 3.329505467043697518e-03 1.029236779132299473e-03 9.980948873060976334e-01 1.002783818520871888e-03 1.248385517275006542e-03
5.057373047000000099e+01 3.329726576974984149e-03 1.029198089935940037e-03 9.980946974176468922e-01 1.002959663280182396e-03 1.248382924645812528e-03
5.057983397999999653e+01 3.329947697072995014e-03 1.029159325128293622e-03 9.980945083118210048e-01 1.003135511529241759e-03 1.248380364376062415e-03
5.058593750000000000e+01 3.330168828009644026e-03 1.029120484642378651e-03 9.980943200014962269e-01 1.003311363830430630e-03 1.248377836389118721e-03
5.059204102000000347e+01 3.330389969370056887e-03 1.029081568601657778e-03 9.980941324999587083e-01 1.003487219881803259e-03 1.248375340621022626e-03
5.059814452999999901e+01 3.330611120739341083e-03 1.029042577130051626e-03 9.980939458199833414e-01 1.003663079381390474e-03 1.248372877007670459e-03
5.060424805000000248e+01 3.330832282789669870e-03 1.029003510159737927e-03 9.980937599729323706e-01 1.003838942891614565e-03 1.248370445472944939e-03
5.061035155999999802e+01 3.331053454743890599e-03 1.028964367878640578e-03 9.980935749708971239e-01 1.004014809822369658e-03 1.248368045956836994e-03
5.061645508000000149e+01 3.331274637274348263e-03 1.028925150218376128e-03 9.980933908242699548e-01 1.004190680736104279e-03 1.248365678383572819e-03
5.062255858999999703e+01 3.331495829603928378e-03 1.028885857367295648e-03 9.980932075441760754e-01 1.004366555042692172e-03 1.248363342693069181e-03
5.062866211000000050e+01 3.331717032405142904e-03 1.028846489256455155e-03 9.980930251400664810e-01 1.004542433304607884e-03 1.248361038809897702e-03
5.063476562000000314e+01 3.331938244900912918e-03 1.028807046074633113e-03 9.980928436221353506e-01 1.004718314931703042e-03 1.248358766673900123e-03
5.064086913999999950e+01 3.332159467763918647e-03 1.028767527752324357e-03 9.980926629989256282e-01 1.004894200486479514e-03 1.248356526209991541e-03
5.064697266000000297e+01 3.332380700579596310e-03 1.028727934413804041e-03 9.980924832794281221e-01 1.005070089666947747e-03 1.248354317354348226e-03
5.065307616999999851e+01 3.332601942933366510e-03 1.028688266183801171e-03 9.980923044721863313e-01 1.005245982171095636e-03 1.248352140043006804e-03
5.065917969000000198e+01 3.332823195498159276e-03 1.028648522991976394e-03 9.980921265844375778e-01 1.005421878561464947e-03 1.248349994201393464e-03
5.066528319999999752e+01 3.333044457496991096e-03 1.028608705028169392e-03 9.980919496241578148e-01 1.005597778247855050e-03 1.248347879769170186e-03
5.067138672000000099e+01 3.333265729602960265e-03 1.028568812221482883e-03 9.980917735977468119e-01 1.005773681792833081e-03 1.248345796672104468e-03
5.067749022999999653e+01 3.333487011039121435e-03 1.028528844762180688e-03 9.980915985123421930e-01 1.005949588606178677e-03 1.248343744849786299e-03
5.068359375000000000e+01 3.333708302478736833e-03 1.028488802578808895e-03 9.980914243735357072e-01 1.006125499250484995e-03 1.248341724228323180e-03
5.068969727000000347e+01 3.333929603507489008e-03 1.028448685796266296e-03 9.980912511873734072e-01 1.006301413423732775e-03 1.248339734744000019e-03
5.069580077999999901e+01 3.334150913711043159e-03 1.028408494539907693e-03 9.980910789595068833e-01 1.006477330823878904e-03 1.248337776332964898e-03
5.070190430000000248e+01 3.334372233762913917e-03 1.028368228737446726e-03 9.980909076943583758e-01 1.006653252013557306e-03 1.248335848921832076e-03
5.070800780999999802e+01 3.334593562886252645e-03 1.028327888580202578e-03 9.980907373970953067e-01 1.006829176402497528e-03 1.248333952450017201e-03
